ERROR [portable_pty::win::psuedocon] CreateProcessW `"pwsh.exe -Command \"cmd:[\\\"npm\\\",\\\"run\\\",\\\"dev\\\"]\"\0"` in cwd `Some("C:\\nodebase\0")` failed: The system cannot find the file specified. (os error 2)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run inngest:dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run inngest:dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run inngest:dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run inngest:dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run inngest:dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
ERROR [portable_pty::win::psuedocon] CreateProcessW `"C:\\nvm4w\\nodejs\\npm run inngest:dev\0"` in cwd `Some("C:\\nodebase\0")` failed: %1 is not a valid Win32 application. (os error 193)
